workerid,condition,response,candidate,probability,batch
2918,spr-event,46,harris,0.38016528925619836,pre
2918,spr-event,75,trump,0.6198347107438017,pre
2918,spr-event,0,other,0,pre
1420,maze-event,50,trump,0.5050505050505051,pre
1420,maze-event,49,harris,0.494949494949495,pre
1420,maze-event,0,other,0,pre
2299,event-maze,63,harris,0.5294117647058824,pre
2299,event-maze,56,trump,0.47058823529411764,pre
2299,event-maze,0,other,0,pre
2943,event-maze,62,harris,0.5961538461538461,pre
2943,event-maze,40,trump,0.38461538461538464,pre
2943,event-maze,2,other,0.019230769230769232,pre
1496,cloze-event,63,trump,0.6116504854368932,pre
1496,cloze-event,40,harris,0.3883495145631068,pre
1496,cloze-event,0,other,0,pre
2235,maze-event,24,trump,0.24242424242424243,pre
2235,maze-event,75,harris,0.7575757575757576,pre
2235,maze-event,0,other,0,pre
2335,event-maze,62,trump,0.62,pre
2335,event-maze,38,harris,0.38,pre
2335,event-maze,0,other,0,pre
2592,spr-event,73,trump,0.7448979591836735,pre
2592,spr-event,25,harris,0.25510204081632654,pre
2592,spr-event,0,other,0,pre
2184,cloze-event,93,harris,0.93,pre
2184,cloze-event,7,trump,0.07,pre
2184,cloze-event,0,other,0,pre
1814,cloze-event,61,trump,0.580952380952381,pre
1814,cloze-event,44,harris,0.41904761904761906,pre
1814,cloze-event,0,other,0,pre
2114,spr-event,53,harris,0.53,pre
2114,spr-event,47,trump,0.47,pre
2114,spr-event,0,other,0,pre
2409,spr-event,52,harris,0.5416666666666666,pre
2409,spr-event,44,trump,0.4583333333333333,pre
2409,spr-event,0,other,0,pre
2273,maze-event,77,harris,0.7623762376237624,pre
2273,maze-event,24,trump,0.2376237623762376,pre
2273,maze-event,0,other,0,pre
2289,event-cloze,51,harris,0.3269230769230769,pre
2289,event-cloze,99,trump,0.6346153846153846,pre
2289,event-cloze,6,other,0.038461538461538464,pre
2218,event-maze,48,harris,0.4897959183673469,pre
2218,event-maze,50,trump,0.5102040816326531,pre
2218,event-maze,0,other,0,pre
1433,event-cloze,38,trump,0.36538461538461536,pre
1433,event-cloze,66,harris,0.6346153846153846,pre
1433,event-cloze,0,other,0,pre
2608,cloze-event,40,harris,0.4,pre
2608,cloze-event,60,trump,0.6,pre
2608,cloze-event,0,other,0,pre
2179,maze-event,55,harris,0.5392156862745098,pre
2179,maze-event,47,trump,0.46078431372549017,pre
2179,maze-event,0,other,0,pre
1976,cloze-event,49,trump,0.494949494949495,pre
1976,cloze-event,50,harris,0.5050505050505051,pre
1976,cloze-event,0,other,0,pre
2672,spr-event,50,trump,0.4854368932038835,pre
2672,spr-event,50,harris,0.4854368932038835,pre
2672,spr-event,3,other,0.02912621359223301,pre
2814,event-maze,100,trump,1,pre
2814,event-maze,0,harris,0,pre
2814,event-maze,0,other,0,pre
1729,cloze-event,60,harris,0.6,pre
1729,cloze-event,40,trump,0.4,pre
1729,cloze-event,0,other,0,pre
2231,event-spr,39,harris,0.3939393939393939,pre
2231,event-spr,60,trump,0.6060606060606061,pre
