workerid,condition,response,candidate,probability
2431,spr-event,15,trump,0.1048951048951049
2431,spr-event,43,other,0.3006993006993007
1788,maze-event,71,trump,0.696078431372549
1788,maze-event,31,harris,0.30392156862745096
1788,maze-event,0,other,0
2131,event-spr,54,harris,0.5510204081632653
2131,event-spr,44,trump,0.4489795918367347
2131,event-spr,0,other,0
1843,event-cloze,63,harris,0.6428571428571429
1843,event-cloze,35,trump,0.35714285714285715
1843,event-cloze,0,other,0
1395,spr-event,24,trump,0.24242424242424243
1395,spr-event,75,harris,0.7575757575757576
1395,spr-event,0,other,0
2661,cloze-event,10,trump,0.0970873786407767
2661,cloze-event,93,harris,0.9029126213592233
2661,cloze-event,0,other,0
1538,event-maze,1,trump,0.009900990099009901
1538,event-maze,100,harris,0.9900990099009901
1538,event-maze,0,other,0
1830,spr-event,0,trump,0
1830,spr-event,100,harris,1
1830,spr-event,0,other,0
1649,event-spr,74,harris,0.7551020408163265
1649,event-spr,24,trump,0.24489795918367346
1649,event-spr,0,other,0
2886,maze-event,49,harris,0.5
2886,maze-event,49,trump,0.5
2886,maze-event,0,other,0
2836,event-cloze,94,trump,0.6861313868613139
2836,event-cloze,12,harris,0.08759124087591241
2836,event-cloze,31,other,0.22627737226277372
2971,spr-event,74,harris,0.45962732919254656
2971,spr-event,87,trump,0.5403726708074534
2971,spr-event,0,other,0
1438,spr-event,14,trump,0.12280701754385964
1438,spr-event,100,harris,0.8771929824561403
1438,spr-event,0,other,0
1978,event-maze,45,harris,0.45918367346938777
1978,event-maze,53,trump,0.5408163265306123
1978,event-maze,0,other,0
1782,event-spr,45,trump,0.45454545454545453
1782,event-spr,54,harris,0.5454545454545454
1782,event-spr,0,other,0
2207,maze-event,60,trump,0.6
2207,maze-event,40,harris,0.4
2207,maze-event,0,other,0
1853,spr-event,50,harris,0.5102040816326531
1853,spr-event,48,trump,0.4897959183673469
1853,spr-event,0,other,0
1577,cloze-event,11,trump,0.11224489795918367
1577,cloze-event,87,harris,0.8877551020408163
1577,cloze-event,0,other,0
2794,event-spr,53,harris,0.5353535353535354
2794,event-spr,46,trump,0.46464646464646464
2794,event-spr,0,other,0
1444,spr-event,100,trump,0.9900990099009901
1444,spr-event,1,harris,0.009900990099009901
1444,spr-event,0,other,0
1878,cloze-event,56,trump,0.5894736842105263
1878,cloze-event,39,harris,0.4105263157894737
1878,cloze-event,0,other,0
1509,event-cloze,92,harris,0.92
1509,event-cloze,8,trump,0.08
1509,event-cloze,0,other,0
2830,cloze-event,61,harris,0.580952380952381
2830,cloze-event,44,trump,0.41904761904761906
2830,cloze-event,0,other,0
2507,event-spr,12,harris,0.12631578947368421
2507,event-spr,82,trump,0.8631578947368421
2507,event-spr,1,other,0.010526315789473684
2314,event-maze,46,trump,0.5168539325842697
2314,event-maze,42,harris,0.47191011235955055
2314,event-maze,1,other,0.011235955056179775
1659,event-spr,49,trump,0.494949494949495
1659,event-spr,49,harris,0.494949494949495
1659,event-spr,1,other,0.010101010101010102
1541,event-cloze,35,harris,0.35
1541,event-cloze,64,trump,0.64
1541,event-cloze,1,other,0.01
2895,event-spr,49,trump,0.494949494949495
2895,event-spr,50,harris,0.5050505050505051
2895,event-spr,0,other,0
1825,maze-event,46,trump,0.46464646464646464
1825,maze-event,52,harris,0.5252525252525253
1825,maze-event,1,other,0.010101010101010102
2967,event-spr,5,harris,0.04
2967,event-spr,91,trump,0.728
2967,event-spr,29,other,0.232
2921,event-cloze,50,trump,0.5050505050505051
2921,event-cloze,49,harris,0.494949494949495
2921,event-cloze,0,other,0
1683,maze-event,43,harris,0.35833333333333334
1683,maze-event,74,trump,0.6166666666666667
1683,maze-event,3,other,0.025
2550,event-spr,99,trump,0.9166666666666666
2550,event-spr,4,harris,0.037037037037037035
2550,event-spr,5,other,0.046296296296296294
2567,cloze-event,49,harris,0.5
2567,cloze-event,49,trump,0.5
2567,cloze-event,0,other,0
2835,event-cloze,89,harris,0.6402877697841727
2835,event-cloze,48,trump,0.34532374100719426
